Designator,Mid X,Mid Y,Rotation,Layer
TP19,131.32,-62.87,90.0,top
TP6,138.22,-59.38,90.0,top
TP5,124.47,-59.38,90.0,top
D3,128.5,-95.35,-90.0,top
C39,128.135,-74.44,90.0,top
TP4,138.63,-95.0,90.0,top
TP8,133.58,-59.38,90.0,top
TP12,135.92,-59.38,90.0,top
TP11,140.49,-59.38,90.0,top
TP10,145.08,-94.9,90.0,top
C46,131.71,-71.585,0.0,top
FB1,126.41,-80.96,180.0,top
R14,131.2,-95.35,-90.0,top
R6,144.535,-80.385,90.0,top
U8,135.21,-78.66,0.0,top
TP20,133.59,-62.87,90.0,top
C44,124.51,-81.41,-90.0,top
TP21,129.05,-62.88,90.0,top
C41,132.21,-85.76,180.0,top
C17,147.9,-63.05,180.0,top
R18,152.15,-68.15,0.0,top
C38,126.41,-82.06,180.0,top
R29,127.6,-95.35,-90.0,top
L1,121.25,-67.475,-90.0,top
C16,131.6,-67.025,90.0,top
C28,153.35,-69.275,0.0,top
C19,147.9,-64.75,180.0,top
C32,147.525,-74.05,0.0,top
R27,125.42,-88.52,90.0,top
C45,142.285,-75.16,-90.0,top
TP18,135.93,-62.87,90.0,top
TP13,126.74,-59.38,90.0,top
R16,150.075,-64.5,90.0,top
R15,129.7,-69.175,0.0,top
C34,123.79,-74.47,0.0,top
D4,130.3,-95.35,-90.0,top
R11,143.56,-77.01,180.0,top
C12,146.085,-78.21,180.0,top
R7,146.435,-81.335,180.0,top
C35,123.79,-79.77,180.0,top
TP16,142.87,-94.97,90.0,top
C13,144.535,-78.5,90.0,top
C42,138.71,-85.735,180.0,top
J10,121.58,-86.24,-90.0,top
TP2,140.74,-94.99,90.0,top
R12,143.56,-76.26,180.0,top
TP3,131.31,-59.38,90.0,top
C30,147.525,-71.1,0.0,top
D5,126.7,-95.35,-90.0,top
L2,142.48,-69.18,-90.0,top
C23,124.425,-67.375,90.0,top
TP1,129.046,-59.38,90.0,top
C24,145.65,-67.53,90.0,top
R13,129.4,-95.35,-90.0,top
C47,126.86,-88.5,-90.0,top
C36,138.75,-86.81,0.0,top
C33,127.075,-71.3,0.0,top
C40,128.135,-80.66,90.0,top
U7,148.3,-67.55,0.0,top
C37,127.31,-74.46,90.0,top
R23,126.42,-78.29,180.0,top
Y2,123.79,-77.17,-90.0,top
U6,126.85,-67.2975,-90.0,top
TP15,126.73,-62.88,90.0,top
C21,145.69,-63.97,-90.0,top
C20,129.675,-64.85,0.0,top
C26,151.625,-69.275,-90.0,top
C18,129.75,-67.025,90.0,top
U3,146.100013,-79.769995,0.0,top
J12,137.02,-93.37,0.0,top
C10,136.87,-79.75,180.0,bottom
C22,137.36,-68.17,90.0,bottom
C1,136.87,-80.5,180.0,bottom
J5,139.27,-61.06,0.0,bottom
C2,136.985,-85.51,0.0,bottom
R20,130.33,-71.57,180.0,bottom
R1,124.69,-82.48,180.0,bottom
R5,149.3,-90.05,180.0,bottom
C27,130.7,-69.075,180.0,bottom
C8,125.46,-81.185,180.0,bottom
J8,129.2,-61.06,0.0,bottom
Y1,137.01,-83.01,-90.0,bottom
R25,146.28,-61.52,90.0,bottom
C15,146.26,-64.53,0.0,bottom
Q1,146.26,-72.87,90.0,bottom
C3,124.69,-83.18,0.0,bottom
R19,130.34,-72.47,0.0,bottom
U4,145.38,-86.425,0.0,bottom
J2,153.94,-86.88,-90.0,bottom
C43,122.5,-80.3,-90.0,bottom
R3,124.46,-80.785,-90.0,bottom
C6,134.26,-80.86,-90.0,bottom
R2,125.46,-85.085,180.0,bottom
C5,125.46,-80.435,180.0,bottom
C25,129.8,-70.425,-90.0,bottom
R10,151.85,-82.475,180.0,bottom
SW1,121.66,-74.26,90.0,bottom
J1,153.92,-67.09,-90.0,bottom
C4,134.4,-77.125,90.0,bottom
U5,141.69,-69.88,-90.0,bottom
J6,128.21,-93.35,180.0,bottom
C9,125.81,-84.11,-90.0,bottom
J3,121.62,-67.31,90.0,bottom
R22,149.38,-69.64,180.0,bottom
D1,146.58,-68.27,-90.0,bottom
R9,151.925,-70.8,0.0,bottom
R26,123.45,-74.275,0.0,bottom
C7,133.175,-76.8,90.0,bottom
R17,131.05,-70.15,0.0,bottom
C29,127.075,-71.3,0.0,bottom
C14,150.475,-89.475,90.0,bottom
C11,125.825,-82.175,-90.0,bottom
R24,145.62,-61.52,-90.0,bottom
C31,127.075,-74.25,0.0,bottom
J4,121.57,-86.71,90.0,bottom
J11,145.82,-93.37,180.0,bottom
R8,140.425,-89.275,90.0,bottom
D2,146.02,-76.62,90.0,bottom
U2,130.035,-83.46,180.0,bottom
R21,149.38,-68.99,0.0,bottom
J7,137.02,-93.37,180.0,bottom
P1,153.07,-76.64,-90.0,bottom
R4,140.4,-85.475,-90.0,bottom
R28,148.14,-69.09,90.0,bottom
U1,136.6125,-77.85,180.0,bottom
